name,category,addres_full,website,phone_number,rating,review_count,longitude,latitude
Ritz Consultant Psikologi (Praktek Psikolog),Psychologist,"Ritz Consultant Psikologi (Praktek Psikolog), Depan Paud Inklusi Harsya Ceria, Jl. H. Usman No.22, Jeulingke, Kec. Syiah Kuala, Kota Banda Aceh, Aceh 24415, Indonesia",,+62 811-6809-330,5,26,"95,3441249","5,5741121"
Sanubari Psikologi (Praktik Psikolog Cut Maghfirah Faisal),Psychologist,"Sanubari Psikologi (Praktik Psikolog Cut Maghfirah Faisal), Jl. TM Pahlawan, Ateuk Pahlawan, Baiturrahman, Banda Aceh City, Aceh, Indonesia",https://www.instagram.com/sanubari.psi/,+62 895-3411-74100,5,50,"95,3240021","5,5475893"
"Klinik Psikologi Seedtosparkle (Firsta Faizah, S.Psi, M.Psi, Psikolog)",Psychologist,"Klinik Psikologi Seedtosparkle (Firsta Faizah, S.Psi, M.Psi, Psikolog), Jl. Prada Utama No.11, Peurada, Syiah Kuala, Banda Aceh City, Aceh 23115, Indonesia",https://www.instagram.com/yourpsychologist_firsta?igsh=OGFjdnZmaDZyaWNu&utm_source=qr,+62 811-6841-662,5,44,"95,3487201","5,5716962"
Psikodista Consultant,Psychologist,"Psikodista Consultant, JL. T. Imum Luengbata. 22 - 24, Kecamatan, Kec. Lueng Bata, Kota Banda Aceh, Aceh 23247, Indonesia",http://www.psikodista.com/,+62 651 26245,"4,7",43,"95,3361829","5,5437292"
Yayasan Praktek Psikolog Indonesia Cabang Aceh,Psychologist,"G7MX+58J Yayasan Praktek Psikolog Indonesia Cabang Aceh, Lamtemen Bar., Kec. Jaya Baru, Kota Banda Aceh, Aceh 23232, Indonesia",,,5,3,"95,2977906","5,5328705"
Praktik Psikolog Klinis - Scandic Psycho Consulting,Psychotherapist,"G9R4+8Q6 Praktik Psikolog Klinis - Scandic Psycho Consulting, Jl. Peukan Blang 1, Miruk, Krueng Barona Jaya, Aceh Besar Regency, Aceh 23116, Indonesia",http://www.scandicconsulting.com/,+62 822-7557-3638,5,17,"95,3568977","5,5407123"
Personal Space (Praktek Psikolog),Psychologist,"G7MX+545 Personal Space (Praktek Psikolog), Jl. Cut Nyak Dhien, Lamtemen Bar., Kec. Jaya Baru, Kota Banda Aceh, Aceh, Indonesia",https://instagram.com/personalspace.psy?igshid=OGQ5ZDc2ODk2ZA==,+62 852-1860-4902,5,7,"95,2978526","5,5328779"
