name,category,addres_full,website,phone_number,rating,review_count,longitude,latitude
,,,,,,,,
Lembaga Layanan Psikologi - Cahaya Prima Optima,Psychologist,"Lembaga Layanan Psikologi - Cahaya Prima Optima, Jl. Hanurata Perum. Hamadi Residence No.B/16, Hamadi, Distrik Jayapura Selatan, Kota Jayapura, Papua, Indonesia",,+62 812-3273-3389,5,6,140.7117332,-2.5671983
Lembaga Layanan Psikologi Perspektive,Psychologist,"FP33+QCC Lembaga Layanan Psikologi Perspektive, Jl. Ardipura Raya, Numbai, Distrik Jayapura Selatan, Kota Jayapura, Papua 99222, Indonesia",,+62 852-5557-7392,5,2,140.7035194,-2.5455648
LAYANAN KONSULTASI PSIKOLOGI HARMONI POTENSIA,Psychologist,"LAYANAN KONSULTASI PSIKOLOGI HARMONI POTENSIA, Perumahan Jaya Asri, Blk. AD No.14, Entrop, Jayapura Selatan, Jayapura City, Papua 99114, Indonesia",,+62 811-4877-711,,,140.6893309,-2.5683347
