name,category,addres_full,website,phone_number,rating,review_count,longitude,latitude
,,,,,,,,
Garasi Mace Polwan,Psychologist,"Garasi Mace Polwan, jln. aspol base'G bengkel polda, 99117, Tj. Ria, Kec. Jayapura Utara, Kota Jayapura, Papua, Indonesia",,+62 811-4899-099,5,4,140.7341286,-2.5167206
Biro Psikologi Bina Insan Papua (BIP),Corporate office,"Biro Psikologi Bina Insan Papua (BIP), Jl. Moyo Permai Blk. A No.3, Klamana, Distrik Sorong Timur, Kota Sorong, Papua Bar. 98418, Indonesia",,+62 821-9905-4205,5,2,131.3249928,-0.9105328
Lembaga Layanan Psikologi Perspektive,Psychologist,"FP33+QCC Lembaga Layanan Psikologi Perspektive, Jl. Ardipura Raya, Numbai, Distrik Jayapura Selatan, Kota Jayapura, Papua 99222, Indonesia",,+62 852-5557-7392,5,2,140.7035194,-2.5455648
Lembaga Layanan Psikologi - Cahaya Prima Optima,Psychologist,"Lembaga Layanan Psikologi - Cahaya Prima Optima, Jl. Hanurata Perum. Hamadi Residence No.B/16, Hamadi, Distrik Jayapura Selatan, Kota Jayapura, Papua, Indonesia",,+62 812-3273-3389,5,6,140.7117332,-2.5671983
LAYANAN KONSULTASI PSIKOLOGI HARMONI POTENSIA,Psychologist,"LAYANAN KONSULTASI PSIKOLOGI HARMONI POTENSIA, Perumahan Jaya Asri, Blk. AD No.14, Entrop, Jayapura Selatan, Jayapura City, Papua 99114, Indonesia",,+62 811-4877-711,,,140.6893309,-2.5683347
